per_level_scale,vertices_lr,final_vertices_lr,log2_hashmap_size,L,scale_multi
1.5,5.00E-05,5.00E-07,18,12,0.5
1.5,5.00E-05,5.00E-07,18,12,0.75
1.5,5.00E-05,5.00E-07,18,12,1
1.5,5.00E-05,5.00E-07,18,12,1.25
1.5,5.00E-05,5.00E-07,18,12,1.5
1.5,5.00E-05,5.00E-07,18,12,1.75
1.5,5.00E-05,5.00E-07,18,12,2
1.4,5.00E-05,5.00E-07,18,14,0.5
1.4,5.00E-05,5.00E-07,18,14,0.75
1.4,5.00E-05,5.00E-07,18,14,1
1.4,5.00E-05,5.00E-07,18,14,1.25
1.4,5.00E-05,5.00E-07,18,14,1.5
1.4,5.00E-05,5.00E-07,18,14,1.75
1.4,5.00E-05,5.00E-07,18,14,2
1.5,2.50E-05,2.50E-07,18,12,0.5
1.5,2.50E-05,2.50E-07,18,12,0.75
1.5,2.50E-05,2.50E-07,18,12,1
1.5,2.50E-05,2.50E-07,18,12,1.25
1.5,2.50E-05,2.50E-07,18,12,1.5
1.5,2.50E-05,2.50E-07,18,12,1.75
1.5,2.50E-05,2.50E-07,18,12,2
1.4,2.50E-05,2.50E-07,18,14,0.5
1.4,2.50E-05,2.50E-07,18,14,0.75
1.4,2.50E-05,2.50E-07,18,14,1
1.4,2.50E-05,2.50E-07,18,14,1.25
1.4,2.50E-05,2.50E-07,18,14,1.5
1.4,2.50E-05,2.50E-07,18,14,1.75
1.4,2.50E-05,2.50E-07,18,14,2
