num_densify_iter,dataset_path,num_densification_samples,delaunay_start,rgb_param_lr,final_vertices_lr,sh_degree_interval,vertices_beta,output_path,image_folder,s_param_lr,weight_decay,run_id,sh_deg,vertices_lr,encoding_lr,L,per_level_scale,sh_param_lr,lambda_ssim,split_mode,cloning_interval,tile_size,vertices_lr_delay_mult,num_iter,render_size_min,eval,error,budget,densify_start,split_std,scale_multi,vertices_lr_max_steps,psnr,gpu_id,network_lr,log2_hashmap_size,additional_pts
3500,/optane/nerf_datasets/360/bicycle,169,1500,0.025,5e-06,500,"[0.9, 0.99]",output/bbbbce539df648bcbc7de8140efadfc8,images_4,0.025,0,bbbbce539df648bcbc7de8140efadfc8,3,5e-05,0.01,12,1.5,0.0025,0.1,barycentric,500,16,0.01,7000,200,True,,1000000,1500,0.1,1.0,7000,20.639184272128286,3,0.001,18,0
3500,/optane/nerf_datasets/360/bicycle,169,1500,0.025,5e-06,500,"[0.9, 0.99]",output/6cbd83c0e3bc4073b8b44dd37b227595,images_4,0.025,0,6cbd83c0e3bc4073b8b44dd37b227595,3,0.0001,0.01,12,1.5,0.0025,0.1,barycentric,500,16,0.01,7000,100,True,,1000000,1500,0.1,1.0,7000,20.70366600255172,2,0.001,18,0
3500,/optane/nerf_datasets/360/bicycle,169,1500,0.025,5e-06,500,"[0.9, 0.99]",output/c58fc21a08f946aba164a19a0c28c955,images_4,0.025,0,c58fc21a08f946aba164a19a0c28c955,3,5e-05,0.01,12,1.5,0.0025,0.1,barycentric,500,16,0.01,7000,0,True,,1000000,1500,0.1,1.0,7000,20.665566020389146,1,0.001,18,0
3500,/optane/nerf_datasets/360/bicycle,169,1500,0.025,5e-06,500,"[0.9, 0.99]",output/b91bc50a9dd648e784fa90870f9e54ba,images_4,0.025,0,b91bc50a9dd648e784fa90870f9e54ba,3,5e-05,0.01,12,1.5,0.0025,0.1,barycentric,500,16,0.01,7000,400,True,,1000000,1500,0.1,1.0,7000,20.672160564360645,1,0.001,18,0
3500,/optane/nerf_datasets/360/bicycle,169,1500,0.025,5e-06,500,"[0.9, 0.99]",output/39ba8cc1a6b44ef78e402cc010076510,images_4,0.025,0,39ba8cc1a6b44ef78e402cc010076510,3,5e-05,0.01,12,1.5,0.0025,0.1,barycentric,500,16,0.01,7000,0,True,,1000000,1500,0.1,1.0,7000,21.11735786423343,2,0.001,20,0
3500,/optane/nerf_datasets/360/bicycle,169,1500,0.025,5e-06,500,"[0.9, 0.99]",output/3d178fe9cf6d4d4a947e9b40cefe424f,images_4,0.025,0,3d178fe9cf6d4d4a947e9b40cefe424f,3,5e-05,0.01,12,1.5,0.0025,0.1,barycentric,500,16,0.01,7000,0,True,,1000000,1500,0.1,1.0,7000,20.64692385910043,3,0.001,18,0
3500,/optane/nerf_datasets/360/bicycle,169,1500,0.025,5e-06,500,"[0.9, 0.99]",output/a3ca3bc9726d4ca3ad92ef6d115f948a,images_4,0.025,0,a3ca3bc9726d4ca3ad92ef6d115f948a,3,5e-05,0.01,12,1.5,0.0025,0.1,barycentric,500,16,0.01,7000,0,True,,1000000,1500,0.1,1.0,7000,20.655999808606943,1,0.001,18,0
3500,/optane/nerf_datasets/360/bicycle,169,1500,0.025,5e-06,500,"[0.9, 0.99]",output/f98382a89310478cb19969f290c990f2,images_4,0.025,0,f98382a89310478cb19969f290c990f2,3,5e-05,0.01,12,1.5,0.0025,0.1,barycentric,500,16,0.01,7000,0,True,,1000000,1500,0.1,1.0,7000,20.650476901798463,2,0.001,18,0
6500,/optane/nerf_datasets/360/bicycle,169,1500,0.025,5e-06,500,"[0.9, 0.99]",output/e2dec46c28e3466e9ba6b13397780fac,images_4,0.025,0,e2dec46c28e3466e9ba6b13397780fac,3,5e-05,0.01,12,1.5,0.0025,0.1,barycentric,500,16,0.01,10000,0,True,,1000000,1500,0.1,1.0,7000,20.719944085329963,3,0.001,18,0
11500,,,,,5.00E-06,,,,,,,68a7318ea4e04c148dafd5e8f9a50bc4,,5.00E-05,,,,,,,,,,15000,0,,Process failed and no JSON output file found,,,,,,,1,,18,
