num_densification_samples,gpu_id,num_densify_iter,vertices_lr_delay_mult,net_weight_decay,densify_start,tile_size,image_folder,split_std,split_mode,sh_param_lr,run_id,dataset_path,eval,vertices_lr,vertices_beta,delaunay_start,encoding_lr,rgb_param_lr,scale_multi,sh_deg,additional_pts,final_encoding_lr,final_network_lr,psnr,cloning_interval,budget,per_level_scale,lambda_ssim,output_path,clone_schedule,final_vertices_lr,sh_degree_interval,s_param_lr,log2_hashmap_size,L,vertices_lr_max_steps,network_lr,render_size_min,num_iter,weight_decay,lambda_dist
50,0,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,53f1f27a92c84a61b07f4fc61ed09877,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.01,0.001,20.557259355786247,500,1000000,2,0.1,output/53f1f27a92c84a61b07f4fc61ed09877,linear,5e-05,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
50,1,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,d1bd911ab654434ca8a63ac2d6a7c29e,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.01,0.001,20.141024708866944,500,1000000,2,0.1,output/d1bd911ab654434ca8a63ac2d6a7c29e,quadratic,5e-05,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
50,0,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,1c1380b8727240d39973ab47ec994de1,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.01,0.001,20.37723797768905,500,1000000,2,0.1,output/1c1380b8727240d39973ab47ec994de1,linear,5e-07,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
50,1,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,e699a847ba7e4a478b2209ae2db6542a,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.01,0.001,20.205130619576625,500,1000000,2,0.1,output/e699a847ba7e4a478b2209ae2db6542a,quadratic,5e-07,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
50,0,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,8a29d6b43f7b40b682ed7b7489f67908,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.001,0.001,20.724117529750515,500,1000000,2,0.1,output/8a29d6b43f7b40b682ed7b7489f67908,linear,5e-05,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
50,1,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,bdebc9e4a2884feda07137c95917d5eb,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.001,0.001,20.7016716070145,500,1000000,2,0.1,output/bdebc9e4a2884feda07137c95917d5eb,quadratic,5e-05,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
50,0,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,080625f41136417092cfde8572d9a00d,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.001,0.001,20.48963000343604,500,1000000,2,0.1,output/080625f41136417092cfde8572d9a00d,linear,5e-07,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
50,1,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,cd44e85efe1f41f7be5dc1203eeab083,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.001,0.001,20.284013633253274,500,1000000,2,0.1,output/cd44e85efe1f41f7be5dc1203eeab083,quadratic,5e-07,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
50,0,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,9d8b45eb64b5491885469d2db594da4f,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.001,0.0001,20.342352519553994,500,1000000,2,0.1,output/9d8b45eb64b5491885469d2db594da4f,linear,5e-07,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
50,1,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,5dcd3b99527144d09b2015485fd69579,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.001,0.0001,20.02277894434629,500,1000000,2,0.1,output/5dcd3b99527144d09b2015485fd69579,quadratic,5e-07,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
50,0,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,eb288dbcfc664edb85bf6c2c5f2a3694,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.01,0.0001,20.547063113550077,500,1000000,2,0.1,output/eb288dbcfc664edb85bf6c2c5f2a3694,linear,5e-05,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
50,1,3500,0.01,0.0,1500,16,images_4,0.1,barycentric,0.0025,bd88abb54b5b4363a3553081b9b8ee44,/optane/nerf_datasets/360/bicycle,True,5e-05,"[0.9, 0.99]",1500,0.01,0.025,1.0,3,0,0.01,0.0001,20.334102146804117,500,1000000,2,0.1,output/bd88abb54b5b4363a3553081b9b8ee44,quadratic,5e-05,500,0.025,22,10,7000,0.001,0,7000,0.01,0.001
