sh_interval,lambda_color,densify_start,lights_lr_delay,lights_lr,final_lights_lr
2000,0,2500,0,1.00E-02,1.00E-02
2000,0,2500,0,5.00E-03,5.00E-03
2000,0,2500,0,1.00E-03,1.00E-03
2000,0,2500,500,5.00E-03,5.00E-03
2000,0,2500,1000,5.00E-03,5.00E-03
1000,0,2500,0,5.00E-03,5.00E-03
1000,0,2500,500,5.00E-03,5.00E-03
1000,0,2500,1000,5.00E-03,5.00E-03
3000,0,2500,0,5.00E-03,5.00E-03
3000,0,2500,500,5.00E-03,5.00E-03
3000,0,2500,1000,5.00E-03,5.00E-03
2000,0,2000,0,5.00E-03,5.00E-03
2000,0,3000,0,5.00E-03,5.00E-03

