Scene,Resolution,Average FPS
bicycle,test,114.101
bicycle,1080p,88.4463
bicycle,2k,95.0331
bicycle,4k,89.536
flowers,test,70.8465
flowers,1080p,72.5646
flowers,2k,94.1214
flowers,4k,59.5453
garden,test,107.183
garden,1080p,75.1756
garden,2k,96.636
garden,4k,70.7344
stump,test,164.122
stump,1080p,151.587
stump,2k,125.944
stump,4k,94.0861
treehill,test,195.416
treehill,1080p,185.421
treehill,2k,140.693
treehill,4k,97.0784
counter,test,84.8997
counter,1080p,100.862
counter,2k,85.8274
counter,4k,60.1982
room,test,144.108
room,1080p,149.976
room,2k,123.063
room,4k,89.986
kitchen,test,104.843
kitchen,1080p,97.4626
kitchen,2k,80.6468
kitchen,4k,63.5626
bonsai,test,106.365
bonsai,1080p,105.192
bonsai,2k,98.1021
bonsai,4k,73.7889
